title,author,rating,voters,price,publisher,page_count,published_date
Attack on Titan: Volume 13,Hajime Isayama,4.6,428,43.28,Kodansha Comics,192,31-Jul-14
Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,3.3,23,26.15,Kensington Publishing Corp.,288,1-Jul-07
The Art of Super Mario Odyssey,Nintendo,3.9,9,133.85,Dark Horse Comics,368,5-Nov-19
Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,4,10,26.15,Kensington Publishing Corp.,320,1-Mar-09
"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,4.5,577,28.54,HarperCollins UK,544,8-Jan-09
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,4.5,832,29.29,HarperCollins UK,864,24-Feb-11
God of War: The Official Novelization,J.M. Barlog,4.5,94,15.82,Titan Books,400,28-Aug-18
Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.8,221,36.79,Tor Books,226,17-Oct-17
"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,4.3,135,50.25,HarperCollins,304,5-Sep-17
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7,47,41.82,Pan Macmillan,112,17-Oct-19
Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,4.8,383,43.28,Hachette UK,400,21-May-15
The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,57,19.28,HarperCollins UK,208,14-Oct-10
Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,4.5,45,14.96,Blake Pierce,250,16-Jun-16
Deadpool Kills the Marvel Universe,Cullen Bunn,4.2,38526,27.53,Marvel Entertainment,96,21-May-14
The Red Signal: An Agatha Christie Short Story,Agatha Christie,5,4,7.5,HarperCollins UK,40,1-Sep-11
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,4.4,427,33.42,Tor Fantasy,704,20-Jul-10
My Little Pony: Friendship is Magic #83,Thom Zahler,5,3,7.84,IDW Publishing,30,16-Oct-19
That Time I got Reincarnated as a Slime 11,Story by FUSE,5,13,43.28,Kodansha America LLC,208,15-Oct-19
Ask A Footballer,James Milner,,,98.42,Hachette UK,320,31-Oct-19
Edgedancer: From the Stormlight Archive,Brandon Sanderson,4.8,221,36.79,Tor Books,226,17-Oct-17
Sonic the Hedgehog #3,Ian Flynn,4.7,281,7.84,IDW Publishing,32,18-Apr-18
Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,4.1,200,43.28,Marvel Entertainment,144,15-Jan-14
The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,4.7,7,14.96,Bookouture,358,11-Oct-19
The Mysterious Affair at Styles (Poirot),Agatha Christie,4.6,57,19.28,HarperCollins UK,208,14-Oct-10
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,4.6,100,32.51,Pan Macmillan,245,1-Sep-09
"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,4.2,408,24.94,HarperCollins UK,416,4-Aug-11
Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",4.3,288,56.14,Harper Collins,336,2-Jun-09
Critical Role Vox Machina: Origins: Volume 1,Matthew Mercer,5,15,66.9,Dark Horse Comics,168,15-Oct-19
Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,3,23.4,Icon Books,176,1-Jan-04
Morning Star,Pierce Brown,4.8,886,62.1,Del Rey,544,9-Feb-16
Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,5,4,98.42,Hachette UK,336,17-Oct-19
After Anna,Alex Lake,4.1,1633,20.51,HarperCollins UK,416,30-Jul-15
How to Win Friends and Influence People,Dale Carnegie,4.4,1382,55.47,Random House,304,30-Sep-10
The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,7,3.71,Bookouture,357,1-Nov-19
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,4.3,206,39.34,Penguin,448,10-Sep-13
The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,4.7,7,3.71,Bookouture,357,1-Nov-19
Salvaged,Madeleine Roux,4,1,47.78,Penguin,368,15-Oct-19
The Art of Thinking Clearly,Rolf Dobelli,4.3,72,7.84,Harper Collins,384,6-May-14
"The Complete Works of William Shakespeare: All 213 Plays, Poems, Sonnets, Apocryphal Plays + The Biography: The Life of William Shakespeare by Sidney Lee: Hamlet - Romeo and Juliet - King Lear - A Midsummer Night’s Dream - Macbeth - The Tempest - Othello and many more",William Shakespeare,4.7,6,4.17,e-artnow,1424,27-Feb-14
The Daylight War: Book Three of The Demon Cycle,Peter V. Brett,4.6,861,35.4,Del Rey,656,12-Feb-13
The Ultimate Secrets of Total Self-Confidence,Robert Anthony,4.5,42,23.85,Penguin,240,15-Nov-86
Ready Player One,Ernest Cline,4.6,17719,39.34,Broadway Books,384,16-Aug-11
A Forge of Valor (Kings and Sorcerers--Book 4),Morgan Rice,4.5,522,18.72,Morgan Rice,250,7-Sep-15
How To Win Friends and Influence People,Dale Carnegie,4.3,6615,51.15,Simon and Schuster,320,24-Aug-10
Introducing Critical Theory: A Graphic Guide,Stuart Sim,3.7,3,23.4,Icon Books,176,1-Jan-04
"Financial Statements, Revised and Expanded Edition: A Step-by-Step Guide to Understanding and Creating Financial Reports",Thomas Ittelson,4,1,78.73,Red Wheel/Weiser,288,1-Aug-09
Death of a Bachelorette,Laura Levine,4,7,29.9,Kensington Books,304,1-Jul-17
Batman: The Man Who Laughs,Ed Brubaker,4.5,64,59.03,DC,146,7-Apr-15
Martha Stewart's Cookie Perfection: 100+ Recipes to Take Your Sweet Treats to the Next Level: A Baking Book,Editors of Martha Stewart Living,,,66.87,Clarkson Potter,256,15-Oct-19
The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,4.7,7,14.96,Bookouture,358,11-Oct-19
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,4.7,47,41.82,Pan Macmillan,112,17-Oct-19
You'll Never See Daylight Again,Michaella McCollum,4.3,6,42.16,Kings Road Publishing,476,31-Oct-19
The Raven,Edgar Allan Poe,3.9,32771,0,Simon and Schuster,32,26-Aug-13
Death of a Bachelorette,Laura Levine,4,7,29.9,Kensington Books,304,1-Jul-17
Little Girl Lost: A Lucy Black Thriller,Brian McGilloway,4,1251,35.44,Harper Collins,336,18-Feb-14
